step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud
103,CASH_IN,321.84727933326695,C0000000,55136.26788118143,54814.420601848164,M0000000,35918.12339933241,36239.97067866568,0,0
436,TRANSFER,163.2919655669116,C0000001,13826.298405578553,13663.00644001164,M0000001,47084.3313356726,47247.62330123951,0,0
271,DEBIT,6201.245860625691,C0000002,90850.41797704698,84649.17211642128,M0000002,75475.70781346512,81676.95367409082,0,0
107,CASH_IN,8866.623141513945,C0000003,59333.89405048042,50467.27090896647,M0000003,29751.350092537155,38617.9732340511,0,0
72,TRANSFER,5040.667042523593,C0000004,45768.42254237769,40727.755499854095,M0000004,20163.142355436135,25203.80939795973,0,0
701,TRANSFER,11770.79199833838,C0000005,93719.49271186536,81948.70071352698,M0000005,12745.012098174724,24515.804096513104,0,0
21,CASH_IN,5986.244756542202,C0000006,9730.184879790082,3743.9401232478804,M0000006,52801.730908127676,58787.97566466988,0,0
615,TRANSFER,2317.7596030144914,C0000007,78959.29381397177,76641.53421095728,M0000007,549.8287502755494,2867.5883532900407,0,0
122,PAYMENT,999.9330963274521,C0000008,36466.55057200093,35466.617475673476,M0000008,70952.06910038293,71952.00219671038,0,0
467,PAYMENT,12927.8894570958,C0000009,69538.97509239716,56611.08563530136,M0000009,46138.950046910366,59066.839504006166,0,0
215,CASH_IN,546.8267883670203,C0000010,93072.54276476786,92525.71597640084,M0000010,53182.28256480294,53729.10935316996,0,0
331,DEBIT,3915.2325683776144,C0000011,51771.30804854173,47856.075480164116,M0000011,26320.46488923476,30235.697457612376,0,0
459,PAYMENT,1884.4460209991296,C0000012,2263.8823428747346,379.436321875605,M0000012,17825.305498856247,19709.751519855377,0,0
88,PAYMENT,1583.2549618423427,C0000013,2884.8230172337953,1301.5680553914526,M0000013,69998.96712474093,71582.22208658326,0,0
373,CASH_IN,5189.959773131109,C0000014,33056.08190853765,27866.122135406542,M0000014,21027.353362636404,26217.313135767512,0,0
100,CASH_OUT,1314.862339970559,C0000015,78165.82193950619,76850.95959953564,M0000015,78008.59584174765,79323.4581817182,0,0
664,TRANSFER,12406.472312537815,C0000016,28826.134307358276,16419.66199482046,M0000016,20367.251951174138,32773.72426371195,0,0
131,PAYMENT,2604.7494169704178,C0000017,33446.86008862177,30842.11067165135,M0000017,61268.31030547487,63873.05972244529,0,0
662,CASH_OUT,5656.32847829084,C0000018,78446.07131975687,72789.74284146602,M0000018,64387.206406410805,70043.53488470164,0,0
309,DEBIT,6505.277588391125,C0000019,11618.917391928086,5113.63980353696,M0000019,50564.559102150044,57069.83669054117,0,0
344,CASH_OUT,5743.3479669546705,C0000020,84681.29619628856,78937.9482293339,M0000020,99679.07652739626,105422.42449435093,0,0
492,CASH_IN,11685.89515741686,C0000021,26579.251555410654,14893.356397993794,M0000021,37584.30112527625,49270.19628269311,0,0
414,DEBIT,1314.1724884880318,C0000022,5122.307102890822,3808.13461440279,M0000022,88332.1145155495,89646.28700403754,0,0
386,DEBIT,449.92193104089154,C0000023,11734.270640368926,11284.348709328035,M0000023,16922.819233831066,17372.741164871957,0,0
192,CASH_OUT,285.3163714677905,C0000024,95255.48867388236,94970.17230241456,M0000024,33721.08724538062,34006.403616848416,0,0
277,CASH_IN,10512.287971888521,C0000025,45132.39550438685,34620.107532498325,M0000025,14536.712089713767,25049.000061602288,0,0
161,PAYMENT,18113.034050780938,C0000026,25643.810599845805,7530.776549064867,M0000026,60362.45213506163,78475.48618584257,0,0
460,CASH_OUT,1801.4540895850332,C0000027,52127.09501791951,50325.640928334484,M0000027,63825.730014234694,65627.18410381973,0,0
